Soil_Type,Nitrogen,Phosphorus,Potassium,pH,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Type_enc
Black,14.61,14.65,246.54,7.4,1.68,1.24,30.02,78.94,1
Black,105.07,21.16,103.04,7.58,1.43,1.0,25.33,65.08,1
Silty,134.8,55.06,126.35,6.02,0.94,0.73,18.32,52.7,5
Sandy,31.26,26.64,171.93,6.78,0.26,0.11,18.63,86.33,4
Loamy,12.43,9.9,119.19,6.58,0.44,0.56,23.62,69.85,3
Loamy,104.54,4.97,192.77,7.19,0.56,1.1,36.3,86.75,3
Clayey,11.24,5.51,210.43,6.84,0.85,1.62,22.72,54.08,2
Loamy,86.93,70.44,87.2,6.37,0.81,1.37,19.54,55.94,3
Sandy,98.54,74.6,254.02,7.02,0.42,0.12,24.36,46.05,4
Silty,60.79,37.01,265.73,6.33,0.81,0.68,24.46,68.53,5
Alluvial,53.32,58.77,24.68,6.43,0.8,0.52,19.03,55.33,0
Loamy,122.28,47.62,275.86,6.36,0.46,0.62,25.98,84.9,3
Black,58.66,85.24,129.39,7.65,1.65,1.53,28.36,86.07,1
Alluvial,73.47,89.7,271.35,6.77,0.54,1.48,29.17,88.54,0
Clayey,4.09,58.51,32.3,6.36,1.18,0.67,20.03,76.49,2
Sandy,47.21,67.68,107.02,6.12,0.3,0.11,28.85,67.98,4
Sandy,108.06,63.51,39.84,6.1,0.46,0.2,22.6,67.46,4
Alluvial,137.0,87.09,243.25,6.64,0.41,1.4,23.89,61.18,0
Loamy,105.35,89.2,65.02,6.15,0.96,0.9,28.37,88.26,3
Loamy,57.34,9.09,27.37,6.92,0.74,0.46,21.89,43.9,3
Loamy,8.79,12.44,39.34,6.43,0.77,0.86,34.45,59.81,3
Clayey,107.37,68.09,273.96,7.19,0.65,1.56,28.33,57.76,2
Black,86.81,23.86,69.11,8.1,1.885,1.57,23.0,70.21,1
Black,13.12,70.63,33.6,7.52,1.53,0.99,20.32,42.53,1
Silty,85.87,59.27,188.77,6.65,0.78,0.34,18.91,60.6,5
Black,102.72,85.22,173.87,7.23,0.88,1.3,25.76,75.38,1
Loamy,59.07,11.46,34.43,6.1,1.12,0.37,31.66,43.92,3
Silty,116.16,74.28,100.51,7.32,0.96,0.98,21.55,81.28,5
Loamy,88.61,70.07,218.64,7.29,0.67,1.4,20.06,89.64,3
Loamy,9.83,64.14,150.63,6.53,1.17,1.29,27.86,44.58,3
Clayey,139.63,14.47,214.26,8.14,0.7,2.36,28.92,78.82,2
Clayey,130.27,21.73,158.33,6.87,0.98,0.95,22.66,71.97,2
Loamy,84.02,66.41,92.18,6.72,0.68,1.09,24.61,63.89,3
Alluvial,71.38,42.02,149.43,7.02,1.06,1.14,19.66,69.06,0
Alluvial,56.79,23.3,84.2,7.04,1.14,0.45,23.89,94.77,0
Silty,65.27,61.75,127.07,6.5,0.72,0.25,22.59,54.63,5
Clayey,131.98,75.8,267.45,6.36,1.33,1.87,32.51,73.74,2
Clayey,2.48,2.11,30.75,8.17,1.3,1.46,34.58,71.3,2
Clayey,118.14,40.23,90.27,7.6,1.42,1.67,22.1,53.83,2
Loamy,12.29,76.51,106.94,6.75,0.61,0.13,34.33,93.24,3
Loamy,11.44,88.44,182.02,7.35,0.91,1.23,30.73,70.51,3
Black,94.29,30.66,144.78,8.4,1.885,0.61,37.6,67.09,1
Black,107.68,24.55,116.42,7.38,0.95,0.61,35.94,66.07,1
Loamy,60.86,8.4,81.58,6.13,0.62,0.35,25.29,67.69,3
Loamy,57.61,57.78,276.56,7.3,0.7,0.1,28.73,90.82,3
Loamy,126.0,7.9,37.62,7.03,0.52,0.29,35.34,59.48,3
Loamy,80.86,47.92,118.78,6.35,0.47,0.85,30.98,66.38,3
Sandy,4.93,29.55,154.56,7.03,0.25,0.17,24.61,91.35,4
Sandy,59.86,81.73,174.0,6.68,0.12,0.06,36.35,40.29,4
Loamy,9.94,35.89,136.36,7.15,0.86,0.49,28.15,53.33,3
Black,55.7,89.2,110.59,7.37,0.86,0.87,34.2,54.01,1
Loamy,11.63,19.94,212.72,7.25,0.68,1.4,36.77,49.97,3
Sandy,50.73,63.22,160.77,5.78,0.18,0.11,25.18,88.25,4
Loamy,14.22,40.71,165.89,6.35,1.0,0.8,36.13,74.33,3
Black,139.79,70.19,206.75,7.95,1.39,1.44,33.57,47.87,1
Alluvial,104.36,6.79,164.97,6.69,0.83,0.63,27.73,62.49,0
Alluvial,3.31,43.89,101.98,6.51,1.06,1.44,30.3,90.15,0
Alluvial,101.87,58.54,39.55,6.23,1.14,1.09,32.73,91.39,0
Alluvial,104.71,5.32,216.06,6.34,0.67,0.54,22.11,83.33,0
Loamy,6.05,83.02,92.06,6.88,0.78,1.39,29.55,49.1,3
Silty,100.16,78.85,163.77,6.69,0.81,1.47,21.69,56.48,5
Sandy,51.83,57.0,103.51,6.14,0.29,0.27,32.28,69.02,4
Black,74.51,81.79,161.64,8.18,1.2,0.51,34.01,93.84,1
Silty,80.53,55.56,251.87,6.89,0.56,0.81,29.13,79.64,5
Alluvial,51.17,16.84,81.97,7.34,0.56,0.51,18.53,49.98,0
Clayey,106.17,42.75,36.05,6.59,0.94,1.68,26.72,56.2,2
Sandy,74.18,53.33,188.37,5.54,0.42,0.2,23.16,47.66,4
Loamy,3.82,15.37,131.31,7.22,1.06,0.84,27.95,79.61,3
