Soil_Type,Crop_Recommended,Nitrogen,Phosphorus,Potassium,pH,Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status
Black,Soybean,14.61,14.65,246.54,7.4,63.52,1.68,1.24,30.02,78.94,76.65,Good,"Nitrogen, Phosphorus",Infertile
Black,Sugarcane,105.07,21.16,103.04,7.58,44.13,1.43,1.0,25.33,65.08,83.48,Excellent,Phosphorus,Moderately Fertile
Silty,Tomato,134.8,55.06,126.35,6.02,46.5,0.94,0.73,18.32,52.7,85.66,Excellent,None,Fertile
Sandy,Potato,31.26,26.64,171.93,6.78,8.47,0.26,0.11,18.63,86.33,65.86,Good,Nitrogen,Moderately Fertile
Loamy,Potato,12.43,9.9,119.19,6.58,29.9,0.44,0.56,23.62,69.85,58.2,Moderate,"Nitrogen, Phosphorus",Infertile
Loamy,Potato,104.54,4.97,192.77,7.19,25.35,0.56,1.1,36.3,86.75,69.71,Good,Phosphorus,Moderately Fertile
Clayey,Sugarcane,11.24,5.51,210.43,6.84,60.7,0.85,1.62,22.72,54.08,64.29,Good,"Nitrogen, Phosphorus",Infertile
Loamy,Soybean,86.93,70.44,87.2,6.37,32.86,0.81,1.37,19.54,55.94,81.77,Excellent,Potassium,Moderately Fertile
Sandy,Tomato,98.54,74.6,254.02,7.02,22.43,0.42,0.12,24.36,46.05,79.9,Good,None,Fertile
Silty,Tomato,60.79,37.01,265.73,6.33,25.17,0.81,0.68,24.46,68.53,82.95,Excellent,None,Fertile
Alluvial,Cotton,53.32,58.77,24.68,6.43,31.29,0.8,0.52,19.03,55.33,71.9,Good,Potassium,Moderately Fertile
Loamy,Groundnut,122.28,47.62,275.86,6.36,39.82,0.46,0.62,25.98,84.9,81.47,Excellent,None,Fertile
Black,Wheat,58.66,85.24,129.39,7.65,41.61,1.65,1.53,28.36,86.07,89.18,Excellent,None,Fertile
Alluvial,Jute,73.47,89.7,271.35,6.77,30.71,0.54,1.48,29.17,88.54,82.06,Excellent,None,Fertile
Clayey,Wheat,4.09,58.51,32.3,6.36,67.3,1.18,0.67,20.03,76.49,70.35,Good,"Nitrogen, Potassium",Infertile
Sandy,Tomato,47.21,67.68,107.02,6.12,5.36,0.3,0.11,28.85,67.98,68.31,Good,Nitrogen,Moderately Fertile
Sandy,Groundnut,108.06,63.51,39.84,6.1,14.73,0.46,0.2,22.6,67.46,70.37,Good,Potassium,Moderately Fertile
Alluvial,Sugarcane,137.0,87.09,243.25,6.64,34.25,0.41,1.4,23.89,61.18,81.63,Excellent,None,Fertile
Loamy,Tomato,105.35,89.2,65.02,6.15,48.4,0.96,0.9,28.37,88.26,81.2,Excellent,Potassium,Moderately Fertile
Loamy,Soybean,57.34,9.09,27.37,6.92,32.41,0.74,0.46,21.89,43.9,60.75,Good,"Phosphorus, Potassium",Infertile
Loamy,Soybean,8.79,12.44,39.34,6.43,25.9,0.77,0.86,34.45,59.81,56.09,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Clayey,Sugarcane,107.37,68.09,273.96,7.19,42.99,0.65,1.56,28.33,57.76,82.52,Excellent,None,Fertile
Black,Soybean,86.81,23.86,69.11,8.1,35.76,1.96,1.57,23.0,70.21,79.51,Good,"Phosphorus, Potassium",Infertile
Black,Soybean,13.12,70.63,33.6,7.52,51.63,1.53,0.99,20.32,42.53,73.91,Good,"Nitrogen, Potassium",Infertile
Silty,Jute,85.87,59.27,188.77,6.65,37.29,0.78,0.34,18.91,60.6,87.75,Excellent,None,Fertile
Black,Sugarcane,102.72,85.22,173.87,7.23,39.89,0.88,1.3,25.76,75.38,86.52,Excellent,None,Fertile
Loamy,Wheat,59.07,11.46,34.43,6.1,49.03,1.12,0.37,31.66,43.92,67.89,Good,"Phosphorus, Potassium",Infertile
Silty,Tomato,116.16,74.28,100.51,7.32,27.95,0.96,0.98,21.55,81.28,83.0,Excellent,None,Fertile
Loamy,Maize,88.61,70.07,218.64,7.29,44.41,0.67,1.4,20.06,89.64,82.72,Excellent,None,Fertile
Loamy,Wheat,9.83,64.14,150.63,6.53,26.34,1.17,1.29,27.86,44.58,82.46,Excellent,Nitrogen,Moderately Fertile
Clayey,Sugarcane,139.63,14.47,214.26,8.14,67.35,0.7,2.36,28.92,78.82,65.3,Good,Phosphorus,Moderately Fertile
Clayey,Rice,130.27,21.73,158.33,6.87,69.35,0.98,0.95,22.66,71.97,83.89,Excellent,Phosphorus,Moderately Fertile
Loamy,Soybean,84.02,66.41,92.18,6.72,39.8,0.68,1.09,24.61,63.89,80.59,Excellent,Potassium,Moderately Fertile
Alluvial,Cotton,71.38,42.02,149.43,7.02,44.18,1.06,1.14,19.66,69.06,89.08,Excellent,None,Fertile
Alluvial,Sugarcane,56.79,23.3,84.2,7.04,48.12,1.14,0.45,23.89,94.77,76.52,Good,"Phosphorus, Potassium",Infertile
Silty,Jute,65.27,61.75,127.07,6.5,26.45,0.72,0.25,22.59,54.63,82.01,Excellent,None,Fertile
Clayey,Rice,131.98,75.8,267.45,6.36,50.83,1.33,1.87,32.51,73.74,93.75,Excellent,None,Fertile
Clayey,Sugarcane,2.48,2.11,30.75,8.17,54.39,1.3,1.46,34.58,71.3,52.67,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile
Clayey,Sugarcane,118.14,40.23,90.27,7.6,66.25,1.42,1.67,22.1,53.83,87.34,Excellent,Potassium,Moderately Fertile
Loamy,Potato,12.29,76.51,106.94,6.75,26.17,0.61,0.13,34.33,93.24,69.3,Good,Nitrogen,Moderately Fertile
Loamy,Soybean,11.44,88.44,182.02,7.35,44.62,0.91,1.23,30.73,70.51,74.99,Good,Nitrogen,Moderately Fertile
Black,Soybean,94.29,30.66,144.78,8.4,60.87,1.94,0.61,37.6,67.09,87.42,Excellent,None,Fertile
Black,Wheat,107.68,24.55,116.42,7.38,38.87,0.95,0.61,35.94,66.07,78.8,Good,Phosphorus,Moderately Fertile
Loamy,Wheat,60.86,8.4,81.58,6.13,29.22,0.62,0.35,25.29,67.69,63.18,Good,"Phosphorus, Potassium",Infertile
Loamy,Potato,57.61,57.78,276.56,7.3,28.92,0.7,0.1,28.73,90.82,79.44,Good,None,Fertile
Loamy,Maize,126.0,7.9,37.62,7.03,26.56,0.52,0.29,35.34,59.48,60.83,Good,"Phosphorus, Potassium",Infertile
