Crop_Recommended,Soil_Health_Score,Soil_Health_Class,Nutrient_Deficiencies,Soil_Fertility_Status,Crop_Recommended_enc,Soil_Health_Class_enc,Nutrient_Deficiencies_enc,Soil_Fertility_Status_enc
Soybean,76.65,Good,"Nitrogen, Phosphorus",Infertile,6,1,1,1
Sugarcane,83.48,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Tomato,85.66,Excellent,None,Fertile,8,0,4,0
Potato,65.86,Good,Nitrogen,Moderately Fertile,4,1,0,2
Potato,58.2,Moderate,"Nitrogen, Phosphorus",Infertile,4,2,1,1
Potato,69.71,Good,Phosphorus,Moderately Fertile,4,1,5,2
Sugarcane,64.29,Good,"Nitrogen, Phosphorus",Infertile,7,1,1,1
Soybean,81.77,Excellent,Potassium,Moderately Fertile,6,0,7,2
Tomato,79.9,Good,None,Fertile,8,1,4,0
Tomato,82.95,Excellent,None,Fertile,8,0,4,0
Cotton,71.9,Good,Potassium,Moderately Fertile,0,1,7,2
Groundnut,81.47,Excellent,None,Fertile,1,0,4,0
Wheat,89.18,Excellent,None,Fertile,9,0,4,0
Jute,82.06,Excellent,None,Fertile,2,0,4,0
Wheat,70.35,Good,"Nitrogen, Potassium",Infertile,9,1,3,1
Tomato,68.31,Good,Nitrogen,Moderately Fertile,8,1,0,2
Groundnut,70.37,Good,Potassium,Moderately Fertile,1,1,7,2
Sugarcane,81.63,Excellent,None,Fertile,7,0,4,0
Tomato,81.2,Excellent,Potassium,Moderately Fertile,8,0,7,2
Soybean,60.75,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Soybean,56.09,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,6,2,2,1
Sugarcane,82.52,Excellent,None,Fertile,7,0,4,0
Soybean,79.51,Good,"Phosphorus, Potassium",Infertile,6,1,6,1
Soybean,73.91,Good,"Nitrogen, Potassium",Infertile,6,1,3,1
Jute,87.75,Excellent,None,Fertile,2,0,4,0
Sugarcane,86.52,Excellent,None,Fertile,7,0,4,0
Wheat,67.89,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Tomato,83.0,Excellent,None,Fertile,8,0,4,0
Maize,82.72,Excellent,None,Fertile,3,0,4,0
Wheat,82.46,Excellent,Nitrogen,Moderately Fertile,9,0,0,2
Sugarcane,65.3,Good,Phosphorus,Moderately Fertile,7,1,5,2
Rice,83.89,Excellent,Phosphorus,Moderately Fertile,5,0,5,2
Soybean,80.59,Excellent,Potassium,Moderately Fertile,6,0,7,2
Cotton,89.08,Excellent,None,Fertile,0,0,4,0
Sugarcane,76.52,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Jute,82.01,Excellent,None,Fertile,2,0,4,0
Rice,93.75,Excellent,None,Fertile,5,0,4,0
Sugarcane,52.67,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,7,2,2,1
Sugarcane,87.34,Excellent,Potassium,Moderately Fertile,7,0,7,2
Potato,69.3,Good,Nitrogen,Moderately Fertile,4,1,0,2
Soybean,74.99,Good,Nitrogen,Moderately Fertile,6,1,0,2
Soybean,87.42,Excellent,None,Fertile,6,0,4,0
Wheat,78.8,Good,Phosphorus,Moderately Fertile,9,1,5,2
Wheat,63.18,Good,"Phosphorus, Potassium",Infertile,9,1,6,1
Potato,79.44,Good,None,Fertile,4,1,4,0
Maize,60.83,Good,"Phosphorus, Potassium",Infertile,3,1,6,1
Soybean,78.81,Good,None,Fertile,6,1,4,0
Potato,61.02,Good,Nitrogen,Moderately Fertile,4,1,0,2
Potato,73.24,Good,None,Fertile,4,1,4,0
Tomato,72.32,Good,Nitrogen,Moderately Fertile,8,1,0,2
Cotton,77.93,Good,None,Fertile,0,1,4,0
Potato,65.0,Good,"Nitrogen, Phosphorus",Infertile,4,1,1,1
Potato,69.02,Good,None,Fertile,4,1,4,0
Wheat,79.45,Good,Nitrogen,Moderately Fertile,9,1,0,2
Cotton,91.42,Excellent,None,Fertile,0,0,4,0
Jute,77.31,Good,Phosphorus,Moderately Fertile,2,1,5,2
Jute,75.17,Good,Nitrogen,Moderately Fertile,2,1,0,2
Cotton,82.33,Excellent,Potassium,Moderately Fertile,0,0,7,2
Cotton,73.31,Good,Phosphorus,Moderately Fertile,0,1,5,2
Groundnut,69.12,Good,"Nitrogen, Potassium",Infertile,1,1,3,1
Jute,88.05,Excellent,None,Fertile,2,0,4,0
Potato,68.71,Good,None,Fertile,4,1,4,0
Wheat,86.18,Excellent,None,Fertile,9,0,4,0
Tomato,82.88,Excellent,None,Fertile,8,0,4,0
Cotton,62.06,Good,"Phosphorus, Potassium",Infertile,0,1,6,1
Sugarcane,79.41,Good,Potassium,Moderately Fertile,7,1,7,2
Potato,75.73,Good,None,Fertile,4,1,4,0
Maize,67.0,Good,"Nitrogen, Phosphorus",Infertile,3,1,1,1
Potato,75.59,Good,Phosphorus,Moderately Fertile,4,1,5,2
Sugarcane,75.48,Good,Phosphorus,Moderately Fertile,7,1,5,2
Rice,60.79,Good,"Phosphorus, Potassium",Infertile,5,1,6,1
Groundnut,81.63,Excellent,None,Fertile,1,0,4,0
Sugarcane,84.19,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Soybean,96.25,Excellent,None,Fertile,6,0,4,0
Potato,70.84,Good,Nitrogen,Moderately Fertile,4,1,0,2
Jute,79.15,Good,None,Fertile,2,1,4,0
Sugarcane,90.23,Excellent,None,Fertile,7,0,4,0
Sugarcane,89.62,Excellent,Phosphorus,Moderately Fertile,7,0,5,2
Potato,50.56,Moderate,"Nitrogen, Phosphorus, Potassium",Infertile,4,2,2,1
Sugarcane,82.71,Excellent,None,Fertile,7,0,4,0
Tomato,69.55,Good,Potassium,Moderately Fertile,8,1,7,2
Maize,59.7,Moderate,"Nitrogen, Potassium",Infertile,3,2,3,1
Wheat,78.39,Good,Potassium,Moderately Fertile,9,1,7,2
Soybean,74.32,Good,Potassium,Moderately Fertile,6,1,7,2
Rice,77.12,Good,Phosphorus,Moderately Fertile,5,1,5,2
Groundnut,90.11,Excellent,None,Fertile,1,0,4,0
Cotton,96.7,Excellent,None,Fertile,0,0,4,0
Tomato,66.34,Good,"Nitrogen, Potassium",Infertile,8,1,3,1
Cotton,80.69,Excellent,Potassium,Moderately Fertile,0,0,7,2
Tomato,54.3,Moderate,"Nitrogen, Potassium",Infertile,8,2,3,1
Cotton,81.62,Excellent,None,Fertile,0,0,4,0
Groundnut,68.65,Good,"Nitrogen, Potassium",Infertile,1,1,3,1
Potato,72.59,Good,None,Fertile,4,1,4,0
Jute,90.63,Excellent,None,Fertile,2,0,4,0
Soybean,88.6,Excellent,None,Fertile,6,0,4,0
Jute,83.27,Excellent,None,Fertile,2,0,4,0
Jute,81.62,Excellent,None,Fertile,2,0,4,0
Potato,86.88,Excellent,None,Fertile,4,0,4,0
Maize,58.76,Moderate,"Nitrogen, Phosphorus",Infertile,3,2,1,1
Soybean,71.88,Good,Potassium,Moderately Fertile,6,1,7,2
Jute,81.19,Excellent,None,Fertile,2,0,4,0
Sugarcane,70.53,Good,"Phosphorus, Potassium",Infertile,7,1,6,1
Sugarcane,82.88,Excellent,None,Fertile,7,0,4,0
Maize,78.18,Good,None,Fertile,3,1,4,0
Groundnut,82.03,Excellent,None,Fertile,1,0,4,0
